time,seconds_elapsed,z,y,x
1758278427297571300,183.6595712890625,1.9342762231826784,2.495248317718506,-0.2226682305335998
1758278427307655700,183.6696557617188,1.783152461051941,2.544395446777344,-0.2180364578962326
1758278427317740500,183.6797404785156,1.5113439559936523,2.518750667572021,-0.3338552117347717
1758278427327824600,183.68982470703125,1.1325644254684448,2.41194748878479,-0.4363850355148315
1758278427337908500,183.6999084472656,0.6991910934448242,2.240728616714477,-0.4696540534496307
1758278427347992300,183.7099924316406,0.2621344029903412,1.9334813356399536,-0.4532881379127502
1758278427358076400,183.7200764160156,-0.1281270831823349,1.493984580039978,-0.4238665997982025
1758278427368161300,183.73016137695316,-0.4191333353519439,0.9573960304260254,-0.3965297639369964
1758278427378245400,183.7402453613281,-0.5974130630493164,0.3309502303600311,-0.322476327419281
1758278427388329200,183.7503291015625,-0.7043613791465759,-0.3463107943534851,-0.2054455727338791
1758278427398413300,183.7604133300781,-0.8564169406890869,-0.9965285062789916,-0.1022246405482292
1758278427408497400,183.77049731445317,-1.1145683526992798,-1.5503666400909424,-0.0343108363449573
1758278427418582300,183.78058227539063,-1.4598023891448977,-1.9665210247039795,-0.0016476977616548
1758278427428666400,183.79066625976563,-1.8445783853530884,-2.228964328765869,-0.0105021754279732
1758278427438750200,183.80075024414063,-2.206155776977539,-2.332024574279785,-0.0409402437508106
1758278427448834300,183.81083422851563,-2.4762885570526123,-2.25170636177063,-0.0648469030857086
1758278427458918400,183.82091845703124,-2.6047582626342773,-1.9846645593643188,-0.0515707843005657
1758278427469003300,183.8310031738281,-2.581512212753296,-1.5690133571624756,0.010431601665914
1758278427479087400,183.84108740234376,-2.448572397232056,-1.0850367546081543,0.1049437224864959
1758278427489171200,183.85117114257807,-2.2951407432556152,-0.6449920535087585,0.2115258276462555
1758278427499255300,183.86125537109376,-2.1977901458740234,-0.3086217641830444,0.3067024052143097
1758278427509339400,183.8713393554688,-2.1837854385375977,-0.0687428414821624,0.3734510838985443
1758278427519424300,183.88142431640625,-2.22999906539917,0.0888481140136718,0.4391933381557464
1758278427529508400,183.89150830078125,-2.317173480987549,0.1447726339101791,0.5022279620170593
1758278427539592200,183.90159228515623,-2.4194886684417725,0.1238713413476944,0.5692762732505798
1758278427549676500,183.91167651367184,-2.518512964248657,0.0422577075660228,0.6368533968925476
1758278427559760400,183.9217604980469,-2.608709812164306,-0.1036829873919487,0.690910279750824
1758278427569845200,183.93184521484372,-2.687880277633667,-0.311194896697998,0.735594630241394
1758278427579929300,183.94192944335936,-2.7659645080566406,-0.5433226823806763,0.7520322203636169
1758278427590013200,183.95201318359372,-2.8139665126800537,-0.792311429977417,0.7612448930740356
1758278427600097500,183.96209765625,-2.8264031410217285,-1.031186580657959,0.7599665522575378
1758278427610181400,183.9721813964844,-2.796919107437134,-1.2457386255264282,0.7546849846839905
1758278427620266200,183.98226635742188,-2.73910927772522,-1.424341082572937,0.7555318474769592
1758278427630350300,183.99235034179688,-2.668503522872925,-1.5838090181350708,0.7532128095626831
1758278427640434200,184.00243408203124,-2.597589492797852,-1.7041163444519043,0.7378916144371033
1758278427650518500,184.0125185546875,-2.560720920562744,-1.8092623949050903,0.6905674934387207
1758278427660602400,184.02260229492188,-2.5858023166656494,-1.8824831247329712,0.6053229570388794
1758278427670687200,184.03268725585937,-2.6708247661590576,-1.907610297203064,0.4818651676177978
1758278427680771300,184.0427712402344,-2.810314416885376,-1.9117027521133425,0.3300383687019348
1758278427690855200,184.05285522460937,-2.965590476989746,-1.9152250289916992,0.1540683954954147
1758278427700939500,184.062939453125,-3.0949487686157227,-1.979997396469116,-0.033415213227272
1758278427711023400,184.0730234375,-3.154136180877685,-2.139891624450684,-0.2418991774320602
1758278427721108200,184.08310815429687,-3.1420016288757324,-2.44395112991333,-0.4642350375652313
1758278427731192300,184.0931923828125,-3.0770883560180664,-2.9135994911193848,-0.6860132217407227
1758278427741276200,184.10327612304687,-3.0087900161743164,-3.500821828842163,-0.8782774806022644
1758278427751360500,184.1133605957031,-2.9989590644836426,-4.104455471038818,-1.0442113876342771
1758278427761444400,184.1234443359375,-3.041609287261963,-4.621937274932861,-1.2122634649276731
1758278427771529200,184.133529296875,-3.1147677898406982,-4.942028045654297,-1.3570150136947632
1758278427781613300,184.14361328125,-3.176119089126587,-5.082922458648682,-1.4641371965408323
1758278427791697200,184.153697265625,-3.171334981918335,-5.028383731842041,-1.5378942489624023
1758278427801781500,184.16378149414064,-3.0894908905029297,-4.820939540863037,-1.5867470502853394
1758278427811865300,184.173865234375,-2.9327280521392822,-4.4759674072265625,-1.617018461227417
1758278427821950200,184.1839501953125,-2.7312917709350586,-4.020844459533691,-1.636143922805786
1758278427832034300,184.19403442382813,-2.518092393875122,-3.496875047683716,-1.6274337768554688
1758278427842118100,184.2041181640625,-2.2892003059387207,-2.9218475818634038,-1.5874093770980835
1758278427852202500,184.21420239257813,-2.049043655395508,-2.332069635391236,-1.4863557815551758
1758278427862286300,184.22428637695316,-1.784407377243042,-1.798742413520813,-1.3436154127120972
1758278427872371200,184.23437109375,-1.5239344835281372,-1.3847417831420898,-1.1834443807601929
1758278427882455300,184.2444553222656,-1.282145857810974,-1.0752968788146973,-1.0090969800949097
1758278427892539100,184.2545390625,-1.0622252225875854,-0.8535524606704712,-0.8469675183296204
1758278427902623500,184.26462353515623,-0.8511343002319336,-0.6884050369262695,-0.7105513215065002
1758278427912707300,184.27470727539065,-0.6193397045135498,-0.5348900556564331,-0.5799709558486938
1758278427922792200,184.2847922363281,-0.359047383069992,-0.3739663958549499,-0.4343772828578949
1758278427932876300,184.29487622070312,-0.078459121286869,-0.1733068078756332,-0.2849089801311493
1758278427942960400,184.30496044921875,0.1935228556394577,0.0687399134039878,-0.1241065040230751
1758278427953044500,184.31504443359376,0.4493655562400818,0.3223982751369476,0.0695082396268844
1758278427963128300,184.3251284179688,0.6687437295913696,0.5165339112281799,0.2864882349967956
1758278427973212200,184.33521215820312,0.8373215198516846,0.6447792649269104,0.5131168365478516
1758278427983297300,184.34529736328125,0.9927063584327698,0.7415564060211182,0.7392668724060059
1758278427993381400,184.35538134765625,1.1445478200912476,0.8437227010726929,0.941660463809967
1758278428003465500,184.36546557617189,1.283519268035889,0.9874268770217896,1.103273630142212
1758278428013549300,184.37554931640625,1.3974721431732178,1.182997703552246,1.2201472520828247
1758278428023633200,184.3856330566406,1.4901819229125977,1.4334051609039309,1.302922010421753
1758278428033718300,184.39571826171877,1.5666366815567017,1.7223613262176514,1.3554922342300415
1758278428043802400,184.4058022460937,1.6557927131652832,2.0385384559631348,1.388721585273743
1758278428053886500,184.41588647460935,1.7780256271362305,2.384883165359497,1.4277222156524658
1758278428063970300,184.42597021484372,1.9455326795578003,2.766634941101074,1.4787428379058838
1758278428074054100,184.43605419921877,2.1312484741210938,3.17625093460083,1.519474744796753
1758278428084139300,184.44613916015624,2.319774389266968,3.58803653717041,1.5347647666931152
1758278428094223400,184.45622338867187,2.4983484745025635,3.9740726947784415,1.5139557123184204
1758278428104307500,184.46630737304687,2.6596736907958984,4.288560390472412,1.4498286247253418
1758278428114391300,184.47639135742187,2.8143112659454346,4.51383638381958,1.3495099544525146
1758278428124475100,184.48647509765624,2.9731099605560303,4.639048099517822,1.2187559604644775
1758278428134560300,184.4965603027344,3.117074966430664,4.654221057891846,1.060634732246399
1758278428144644400,184.50664428710937,3.2429256439208984,4.53954553604126,0.8859007954597473
1758278428154728400,184.516728515625,3.3282041549682617,4.288204193115234,0.7127189040184021
1758278428164812300,184.52681225585937,3.352541923522949,3.980978012084961,0.5369009971618652
1758278428174896000,184.5368962402344,3.3423373699188232,3.59697699546814,0.3617803156375885
1758278428184981200,184.5469812011719,3.3251068592071533,3.143643379211426,0.2234682440757751
1758278428195065300,184.5570654296875,3.2937376499176025,2.6639981269836426,0.1126277446746826
1758278428205149400,184.5671494140625,3.244946241378784,2.199774265289306,0.0122345620766282
1758278428215233300,184.5772333984375,3.1759135723114014,1.75501811504364,-0.0891969874501228
1758278428225317000,184.58731713867184,3.096420288085937,1.332865834236145,-0.1942323297262191
1758278428235402200,184.59740234375,3.020514726638794,0.9404255747795104,-0.2794766426086426
1758278428245486300,184.607486328125,2.969925880432129,0.6296839118003845,-0.3423283100128174
1758278428255570400,184.6175703125,2.947418689727783,0.4212556183338165,-0.3918985426425934
1758278428265654300,184.627654296875,2.946265459060669,0.2595034837722778,-0.4374348521232605
1758278428275738000,184.6377380371094,2.9605653285980225,0.1675999164581298,-0.4758187234401703
1758278428285823200,184.6478232421875,2.9830095767974854,0.1676124334335327,-0.5005901455879211
1758278428295907300,184.6579072265625,3.013054847717285,0.23924320936203,-0.5215726494789124
1758278428305991400,184.66799145507807,3.0663020610809326,0.3815212547779083,-0.5284656882286072
1758278428316075300,184.6780751953125,3.1239724159240723,0.5818021297454834,-0.5254462361335754
1758278428326159400,184.68815942382813,3.1467621326446533,0.7717028260231018,-0.5173938870429993
1758278428336244200,184.698244140625,3.104844093322754,0.9887664318084716,-0.5124140381813049
